type,name,link
city,Abernathy,http://www.cityofabernathy.org
city,Abilene,http://www.abilenetx.com
city,Addison,http://www.addisontx.gov
city,Alamo,http://www.alamotexas.org
city,Alamo Heights,http://www.alamoheightstx.gov
city,Alba,http://www.albatexas.org
city,Albany,http://www.albanytexas.org
city,Aledo,http://www.aledo-texas.com
city,Alice,http://www.ci.alice.tx.us
city,Allen,http://www.cityofallen.org
city,Alpine,http://cityofalpine.com
city,Alto,http://www.altotexas.org
city,Alton,http://www.alton-tx.gov
city,Alvarado,http://www.cityofalvarado.org
city,Alvin,http://www.alvin-tx.gov
city,Amarillo,http://www.amarillo.gov
city,Ames,http://cityofamestexas.com
city,Anahuac,http://www.anahuac.us
city,Anderson,http://townofandersontexas.com/
city,Andrews,http://www.cityofandrews.org
city,Angleton,http://www.angleton.tx.us
city,Anna,http://www.annatexas.gov
city,Annetta,http://www.annettatx.gov
city,Annetta North,http://www.annettanorth.com
city,Anson ,http://www.anson-tx.us
city,Aransas Pass,http://www.aransaspasstx.gov
city,Archer City,http://www.archercity.org
city,Arcola,http://www.arcolatexas.org/
city,Argyle,http://www.argyletx.com
city,Arlington,http://www.arlingtontx.gov
city,Athens,http://www.athenstexas.us
city,Atlanta,http://www.atlantatexas.org
city,Aubrey,/admin/node/update/http:/www.ci.aubrey.tx.us
city,Aurora,http://www.auroratexas.gov
city,Austin,http://www.austintexas.gov
city,Avery,http://www.averytx.com
city,Azle,http://www.cityofazle.org
city,Bailey's Prairie,http://www.baileysprairie.org
city,Balch Springs,http://www.cityofbalchsprings.com
city,Balcones Heights,http://www.balconesheights.org
city,Ballinger,http://www.ballinger-tx.com
city,Balmorhea,http://www.cityofbalmorhea.com
city,Bandera,http://www.cityofbandera.org
city,Bartlett,http://www.bartlett-tx.us/
city,Bartonville,http://www.townofbartonville.com
city,Bastrop,http://www.cityofbastrop.org
city,Bay City,http://www.cityofbaycity.org
city,Bayou Vista,http://bayouvista.us
city,Baytown,http://www.baytown.org
city,Beach City,http://www.beachcitytx.us
city,Bear Creek,http://www.vilbc.org
city,Beaumont,http://www.cityofbeaumont.com
city,Bedford,http://www.bedfordtx.gov
city,Bee Cave,http://www.beecavetexas.com
city,Beeville,http://www.beevilletx.org
city,Bellaire,http://www.bellairetx.gov/
city,Bellmead,http://www.bellmead.com
city,Bells,http://www.cityofbells.org
city,Bellville,http://www.cityofbellville.com
city,Belton,http://www.beltontexas.gov
city,Benbrook,http://www.benbrook-tx.gov
city,Bertram,http://www.cityofbertram.org/
city,Beverly Hills,http://www.beverlyhillstexas.net
city,Bevil Oaks,http://www.cityofbeviloaks.com
city,Big Sandy,http://www.bigsandytx.net
city,Big Spring,http://www.mybigspring.com
city,Blanco,http://www.cityofblanco.com
city,Blooming Grove,http://www.ci.blooming-grove.tx.us
city,Blue Mound,http://www.bluemoundtexas.org
city,Blue Ridge,http://www.blueridgecity.com/
city,Boerne,http://www.ci.boerne.tx.us
city,Bogata,http://www.cityofbogata.com
city,Bonham,http://www.cityofbonham.org
city,Borger,http://www.ci.borger.tx.us
city,Bovina,http://www.cityofbovina.net
city,Bowie,http://www.cityofbowietx.com
city,Boyd,http://www.cityofboyd.com
city,Brady,http://www.bradytx.us
city,Breckenridge,http://www.breckenridgetexas.com
city,Brenham,http://www.cityofbrenham.org
city,Bridge City,http://www.bridgecitytex.com
city,Bridgeport,http://www.cityofbridgeport.net
city,Bronte,http://www.brontetexas.org/
city,Brookshire,http://www.cityofbrookshire.org
city,Brownfield,http://www.ci.brownfield.tx.us
city,Brownsville,http://www.cob.us
city,Brownwood,http://www.brownwoodtexas.gov
city,Bruceville-Eddy,http://www.bruceville-eddy.org
city,Bryan,http://www.bryantx.gov
city,Bryson,http://www.cityofbrysontexas.com
city,Buda,http://www.ci.buda.tx.us
city,Buffalo,http://www.buffalotex.com
city,Bullard,http://www.bullardtexas.net
city,Bulverde,http://www.bulverdetx.gov
city,Bunker Hill Village,http://www.bunkerhill.net
city,Burkburnett,http://www.burkburnett.org
city,Burleson,http://www.burlesontx.com
city,Burnet,http://www.cityofburnet.com
city,Caddo Mills,http://www.cityofcaddomills.com/
city,Caldwell,http://www.caldwelltx.gov
city,Callisburg,http://www.callisburgtx.com
city,Cameron,http://www.camerontexas.net
city,Camp Wood,http://www.campwood.com
city,Canadian,http://cityofcanadiantexas.com
city,Canton,http://www.cantontx.gov
city,Canyon,http://www.canyontx.com
city,Carrollton,http://www.cityofcarrollton.com
city,Carthage,http://www.carthagetexas.com
city,Carrizo Springs,http://www.cityofcarrizo.org/
city,Castle Hills,http://www.cityofcastlehills.com
city,Castroville,http://www.castrovilletx.gov
city,Cedar Hill,http://www.cedarhilltx.com
city,Cedar Park,http://www.cedarparktexas.gov
city,Celina,http://www.celina-tx.gov
city,Center,http://www.centertexas.org/
city,Chandler,http://www.chandlertx.com
city,China,http://www.chinatexas.net
city,China Grove,http://www.cityofchinagrove.org
city,Chireno,http://www.chireno.com
city,Cibolo,http://www.cibolotx.gov
city,Cisco,http://www.cityofcisco.com
city,Clear Lake Shores ,http://www.clearlakeshores-tx.gov
city,Cleburne,http://www.ci.cleburne.tx.us
city,Cleveland,http://www.clevelandtexas.com
city,Clifton,http://www.ci.clifton.tx.us
city,Clute,http://www.ci.clute.tx.us
city,Clyde,http://clydetexas.us
city,Cockrell Hill,http://www.cockrell-hill.tx.us
city,Coffee City,http://www.coffeecitytx.com
